"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",0.107000000000001
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",1.28700000000001
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",2.19499972222224
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",2.13777166666668
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",2.81184472222224
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",3.95186413888892
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",5.00478291666671
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",6.05954391666671
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",6.87939408333339
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",7.33941513888895
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","biomass","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",7.23492938888895
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",0.660000000000005
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",2.17999972222224
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",3.01299694444447
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",3.30264694444447
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",4.91908666666671
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",6.10028744444449
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",7.19800097222228
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",8.15596688888895
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",8.97630136111118
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",9.56854986111119
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","coal","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",10.0952626944445
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",19.8719994444446
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",55.3258833333338
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",62.6090777777783
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",71.3593333333339
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",97.5438444444452
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",121.927166666668
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",149.092633333335
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",176.908013055557
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",204.673674444446
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",228.538662222224
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","gas","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",248.970359444446
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",1.21330111111112
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",3.07897833333336
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",5.67318833333338
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",8.60289666666674
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",11.6204550000001
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",14.2926350000001
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","geothermal","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",15.7521222222223
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",17.8760000000001
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",34.0038888888892
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",33.5869444444447
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",38.0388888888892
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",39.2113888888892
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",40.384166666667
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",41.556666666667
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",42.729166666667
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",43.901666666667
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",45.074166666667
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","hydro","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",46.246666666667
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","nuclear","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",7.28100000000006
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","nuclear","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",6.87300000000005
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","nuclear","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",7.17100000000006
"GCAM_SSP2","Argentina","Argentina","elecByTechTWh","Fuel","nuclear","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",7.13825000000006
