# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Bangkok,trn_freight_road,Heavy truck,BEV,1975,non-energy,1.0714,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,1975,non-energy,1.0714,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,1975,non-energy,1.0714,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,1975,non-energy,1.0714,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,1990,non-energy,1.0714,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,1990,non-energy,1.0714,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,1990,non-energy,1.0714,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,1990,non-energy,1.0714,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2005,non-energy,1.0714,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2005,non-energy,1.0714,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2005,non-energy,1.0714,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2005,non-energy,1.0714,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2010,non-energy,0.9678,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2010,non-energy,0.9678,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2010,non-energy,0.9678,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2010,non-energy,0.9678,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2015,non-energy,0.8641,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2015,non-energy,0.8641,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2015,non-energy,0.8641,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2015,non-energy,0.8641,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2020,non-energy,0.776,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2020,non-energy,0.776,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2020,non-energy,0.776,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2020,non-energy,0.776,CORE
