region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Thailand,trn_freight_road,Heavy truck,BEV,1975,non-energy,1.0714,CORE
Thailand,trn_freight_road,Heavy truck,BEV,1990,non-energy,1.0714,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2005,non-energy,1.0714,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2010,non-energy,0.9678,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2015,non-energy,0.8641,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2020,non-energy,0.776,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2025,non-energy,0.7289,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2030,non-energy,0.6818,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2035,non-energy,0.6617,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2040,non-energy,0.6416,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2045,non-energy,0.6298,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2050,non-energy,0.618,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2055,non-energy,0.6174,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2060,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2065,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2070,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2075,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2080,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2085,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2090,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2095,non-energy,0.6168,CORE
Thailand,trn_freight_road,Heavy truck,BEV,2100,non-energy,0.6168,CORE
Thailand,trn_freight_road,Light truck,BEV,1975,non-energy,0.4474,CORE
Thailand,trn_freight_road,Light truck,BEV,1990,non-energy,0.4474,CORE
Thailand,trn_freight_road,Light truck,BEV,2005,non-energy,0.4474,CORE
Thailand,trn_freight_road,Light truck,BEV,2010,non-energy,0.3835,CORE
Thailand,trn_freight_road,Light truck,BEV,2015,non-energy,0.3194,CORE
Thailand,trn_freight_road,Light truck,BEV,2020,non-energy,0.2699,CORE
Thailand,trn_freight_road,Light truck,BEV,2025,non-energy,0.2538,CORE
Thailand,trn_freight_road,Light truck,BEV,2030,non-energy,0.2376,CORE
Thailand,trn_freight_road,Light truck,BEV,2035,non-energy,0.2334,CORE
Thailand,trn_freight_road,Light truck,BEV,2040,non-energy,0.2291,CORE
Thailand,trn_freight_road,Light truck,BEV,2045,non-energy,0.2266,CORE
Thailand,trn_freight_road,Light truck,BEV,2050,non-energy,0.224,CORE
Thailand,trn_freight_road,Light truck,BEV,2055,non-energy,0.2239,CORE
Thailand,trn_freight_road,Light truck,BEV,2060,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2065,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2070,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2075,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2080,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2085,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2090,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2095,non-energy,0.2237,CORE
Thailand,trn_freight_road,Light truck,BEV,2100,non-energy,0.2237,CORE
Thailand,trn_freight_road,Medium truck,BEV,1975,non-energy,0.9781,CORE
Thailand,trn_freight_road,Medium truck,BEV,1990,non-energy,0.9781,CORE
Thailand,trn_freight_road,Medium truck,BEV,2005,non-energy,0.9781,CORE
Thailand,trn_freight_road,Medium truck,BEV,2010,non-energy,0.8796,CORE
Thailand,trn_freight_road,Medium truck,BEV,2015,non-energy,0.7811,CORE
Thailand,trn_freight_road,Medium truck,BEV,2020,non-energy,0.6984,CORE
Thailand,trn_freight_road,Medium truck,BEV,2025,non-energy,0.6564,CORE
Thailand,trn_freight_road,Medium truck,BEV,2030,non-energy,0.6144,CORE
Thailand,trn_freight_road,Medium truck,BEV,2035,non-energy,0.597,CORE
Thailand,trn_freight_road,Medium truck,BEV,2040,non-energy,0.5796,CORE
Thailand,trn_freight_road,Medium truck,BEV,2045,non-energy,0.5694,CORE
Thailand,trn_freight_road,Medium truck,BEV,2050,non-energy,0.5592,CORE
Thailand,trn_freight_road,Medium truck,BEV,2055,non-energy,0.5587,CORE
Thailand,trn_freight_road,Medium truck,BEV,2060,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2065,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2070,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2075,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2080,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2085,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2090,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2095,non-energy,0.5581,CORE
Thailand,trn_freight_road,Medium truck,BEV,2100,non-energy,0.5581,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,1975,non-energy,0.0679,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,1990,non-energy,0.0679,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2005,non-energy,0.0561,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2010,non-energy,0.0488,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2015,non-energy,0.0417,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2020,non-energy,0.0349,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2025,non-energy,0.0349,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2030,non-energy,0.0349,CORE
